label,tahun,kode,Prov,V1,V2,G1,Panen,Tidak diusahakan,Puso,Total amatan,Produksi PADI
training set,2019,76,SULAWESI BARAT,1608,1348,1502,4357,1950,199,10964,300142.22
training set,2019,81,MALUKU,530,312,487,1304,405,58,3247,98254.75
training set,2019,82,MALUKU UTARA,529,351,420,840,597,94,2831,37945.64
training set,2019,91,PAPUA BARAT,348,185,312,770,425,96,2138,29943.56
training set,2019,94,PAPUA,1163,467,905,1326,2565,72,6542,235339.51
uji,2020,11,ACEH,10929,10125,12166,25191,13765,1018,73264,1757313.07
uji,2020,12,SUMATERA UTARA,17531,14052,17478,24989,15569,550,90290,2040500.19
uji,2020,13,SUMATERA BARAT,10944,8559,10490,13267,6199,441,49907,1387269.29
uji,2020,14,RIAU,3053,2368,2726,8990,3357,860,21354,243685.04
uji,2020,15,JAMBI,4276,3500,3691,11091,3532,926,27078,386413.49
uji,2020,16,SUMATERA SELATAN,16995,11403,12913,35500,15487,1730,94089,2743059.68
uji,2020,17,BENGKULU,3233,2335,2885,6982,3100,188,18731,292834.04
uji,2020,18,LAMPUNG,13354,7762,9456,20223,10908,441,62175,2650289.64
uji,2020,19,KEP. BANGKA BELITUNG,585,475,349,1031,948,621,4009,57324.32
uji,2020,21,KEP. RIAU,186,127,130,231,454,69,1202,852.54
uji,2020,31,DKI JAKARTA,132,74,69,100,114,16,505,4543.93
uji,2020,32,JAWA BARAT,49017,30576,33329,51048,28246,1836,194093,9016772.58
uji,2020,33,JAWA TENGAH,43615,29556,31059,37344,21954,1317,164845,9489164.62
uji,2020,34,DI YOGYAKARTA,3945,3145,2830,3256,1617,148,14944,523395.95
uji,2020,35,JAWA TIMUR,57578,38627,39680,51415,21979,1265,210766,9944538.26
uji,2020,36,BANTEN,9216,5863,5875,12350,6725,454,40635,1655170.09
uji,2020,51,BALI,3084,2105,2738,3418,2203,128,13677,532168.45
uji,2020,52,NUSA TENGGARA BARAT,7628,4159,4940,9518,2769,520,29567,1317189.81
uji,2020,53,NUSA TENGGARA TIMUR,5647,3487,4233,22992,5274,2039,43722,725024.3
uji,2020,61,KALIMANTAN BARAT,7813,6073,6438,17848,6350,475,45048,778170.36
uji,2020,62,KALIMANTAN TENGAH,5434,3277,3112,9175,5592,395,26997,457952
uji,2020,63,KALIMANTAN SELATAN,14478,9484,9808,37115,15007,779,86679,1150306.66
uji,2020,64,KALIMANTAN TIMUR,3243,2236,2190,4067,2867,348,14972,262434.52
uji,2020,65,KALIMANTAN UTARA,799,689,588,1766,589,82,4555,33574.28
uji,2020,71,SULAWESI UTARA,3356,2257,2557,4150,2813,66,15245,248879.48
uji,2020,72,SULAWESI TENGAH,7647,5448,6569,13306,6450,406,39868,792248.84
uji,2020,73,SULAWESI SELATAN,26669,19965,24231,47394,19727,2247,140312,4708464.97
uji,2020,74,SULAWESI TENGGARA,6104,4170,5479,9734,5253,734,31490,532773.49
uji,2020,75,GORONTALO,2118,1642,1996,2559,1458,254,10214,227627.2
uji,2020,76,SULAWESI BARAT,2115,1654,1971,3359,2255,140,11502,345050.37
uji,2020,81,MALUKU,684,432,530,1029,537,65,3360,110447.3
uji,2020,82,MALUKU UTARA,478,410,444,752,614,85,2783,43382.85
uji,2020,91,PAPUA BARAT,282,225,293,664,524,111,2105,24378.33
uji,2020,94,PAPUA,1355,638,890,1122,2189,107,6316,166002.3
